Timestamp,Method,Model,PromptTokens,CompletionTokens,CachedTokens,CacheWriteTokens,AudioInputTokens,VideoInputTokens,ReasoningTokens,AudioOutputTokens,ImageOutputTokens,Cost
2025-11-25T19:02:50.516Z,chat/completions,gpt-5,,,,,,,,,,14.9
2025-11-25T19:10:00.675Z,chat/completions,gpt-5,,,,,,,,,,15.16
2025-11-25T19:14:04.574Z,chat/completions,gpt-5,,,,,,,,,,17.27
2025-11-25T19:15:47.767Z,chat/completions,gpt-5,,,,,,,,,,18.49
2025-11-25T19:25:36.902Z,chat/completions,gpt-5,,,,,,,,,,9.87
2025-11-25T19:27:36.511Z,chat/completions,gpt-5,,,,,,,,,,15.75
2025-11-25T19:27:41.462Z,chat/completions,gpt-5-codex,,,,,,,,,,13.06
2025-11-25T19:28:09.375Z,chat/completions,gpt-5-codex,,,,,,,,,,44.65
2025-11-25T19:28:40.677Z,chat/completions,gpt-5-codex,,,,,,,,,,1.99
2025-11-25T19:35:10.055Z,chat/completions,gpt-5-codex,,,,,,,,,,4.63
2025-11-25T19:43:02.874Z,chat/completions,gpt-5-codex,,,,,,,,,,4.67
2025-11-25T19:45:30.993Z,chat/completions,gpt-5,,,,,,,,,,50.97
2025-11-25T19:49:24.981Z,chat/completions,gpt-5,,,,,,,,,,52.23
2025-11-25T19:51:29.222Z,chat/completions,gpt-5,,,,,,,,,,29.12
2025-11-25T19:52:39.446Z,chat/completions,gpt-5,,,,,,,,,,25.91
2025-11-25T19:56:18.406Z,chat/completions,gpt-5,,,,,,,,,,25.93
2025-11-25T20:02:28.448Z,chat/completions,gpt-5,,,,,,,,,,12.65
2025-11-25T20:05:03.468Z,chat/completions,gpt-5,,,,,,,,,,13.86
2025-11-25T20:05:50.587Z,chat/completions,gpt-5,,,,,,,,,,23.2
2025-11-25T20:08:25.928Z,chat/completions,gpt-5,,,,,,,,,,40.58
2025-11-25T20:10:46.273Z,chat/completions,gpt-5,,,,,,,,,,32.88
2025-11-25T20:13:40.354Z,chat/completions,gpt-5,,,,,,,,,,25
2025-11-25T20:13:44.130Z,chat/completions,gpt-5,,,,,,,,,,33.09
2025-11-25T20:14:21.968Z,chat/completions,gpt-5-codex,,,,,,,,,,12.4
2025-11-25T20:17:20.824Z,chat/completions,gpt-5-codex,,,,,,,,,,30.97
2025-11-25T20:19:18.607Z,chat/completions,gpt-5,,,,,,,,,,42.22
2025-11-25T20:20:30.447Z,chat/completions,gpt-5-codex,,,,,,,,,,25.52
2025-11-25T20:21:33.504Z,chat/completions,gpt-5,,,,,,,,,,36.29
2025-11-25T20:22:08.651Z,chat/completions,gpt-5,,,,,,,,,,28.01
2025-11-25T20:24:33.409Z,chat/completions,gpt-5,,,,,,,,,,31.92
2025-11-25T20:26:05.825Z,chat/completions,gpt-5-codex,,,,,,,,,,12.6
2025-11-25T20:26:43.055Z,chat/completions,gpt-5,,,,,,,,,,19.13
2025-11-25T20:27:26.496Z,chat/completions,gpt-5,,,,,,,,,,21.84
2025-11-25T20:30:29.555Z,chat/completions,gpt-5,,,,,,,,,,11.06
2025-11-25T20:34:44.678Z,chat/completions,gpt-5,,,,,,,,,,15.01
2025-11-25T20:37:24.024Z,chat/completions,gpt-5,,,,,,,,,,31
2025-11-25T20:41:20.582Z,chat/completions,gpt-5,,,,,,,,,,28.42
2025-11-25T20:42:37.527Z,chat/completions,gpt-5,,,,,,,,,,14.43
2025-11-25T20:42:37.605Z,chat/completions,gpt-5,,,,,,,,,,26.38
2025-11-25T20:43:28.143Z,chat/completions,gpt-5,,,,,,,,,,27
2025-11-25T20:47:00.836Z,chat/completions,gpt-5,,,,,,,,,,19.7
2025-11-25T20:47:40.612Z,chat/completions,gpt-5,,,,,,,,,,24.73
2025-11-25T20:50:26.493Z,chat/completions,gpt-5,,,,,,,,,,21.63
2025-11-25T20:51:58.703Z,chat/completions,gpt-5,,,,,,,,,,20.67
2025-11-25T20:53:30.620Z,chat/completions,gpt-5,,,,,,,,,,24.02
2025-11-25T20:55:48.157Z,chat/completions,gpt-4.1-mini,,,,,,,,,,0.15
2025-11-25T20:56:21.642Z,chat/completions,gpt-5,,,,,,,,,,10.96
2025-11-25T20:58:43.576Z,chat/completions,gpt-5,,,,,,,,,,37.42
2025-11-25T20:59:05.345Z,chat/completions,gpt-5,,,,,,,,,,27.27
2025-11-25T21:00:48.939Z,chat/completions,gpt-5,,,,,,,,,,7
2025-11-25T21:03:01.396Z,chat/completions,gpt-5,,,,,,,,,,26.29
2025-11-25T21:03:04.577Z,chat/completions,gpt-5,,,,,,,,,,23.03
2025-11-25T21:03:56.857Z,chat/completions,gpt-5,,,,,,,,,,23.99
2025-11-25T21:05:31.230Z,chat/completions,gpt-5,,,,,,,,,,8.34
2025-11-25T21:05:31.544Z,chat/completions,gpt-4.1-mini,,,,,,,,,,1.19
2025-11-25T21:07:16.009Z,chat/completions,gpt-5,,,,,,,,,,32.76
2025-11-25T21:10:06.158Z,chat/completions,gpt-5,,,,,,,,,,27.43
2025-11-25T21:10:17.555Z,chat/completions,gpt-5,,,,,,,,,,16.97
2025-11-25T21:19:01.860Z,chat/completions,gpt-5,,,,,,,,,,14.59
2025-11-25T21:24:52.428Z,chat/completions,gpt-5,,,,,,,,,,18.14
2025-11-25T21:25:41.314Z,chat/completions,gpt-5,,,,,,,,,,26.75
2025-11-25T21:26:13.500Z,chat/completions,gpt-5,,,,,,,,,,14.07
2025-11-25T21:27:53.584Z,chat/completions,gpt-5,,,,,,,,,,30.49
2025-11-25T21:30:21.519Z,chat/completions,gpt-5,,,,,,,,,,12.27
2025-11-25T21:32:42.577Z,chat/completions,gpt-4.1-mini,,,,,,,,,,0.42
2025-11-25T21:32:58.126Z,chat/completions,gpt-5,,,,,,,,,,3.52
2025-11-25T21:33:04.487Z,chat/completions,gpt-5,,,,,,,,,,31
2025-11-25T21:35:10.085Z,chat/completions,gpt-5,,,,,,,,,,13.04
2025-11-25T21:36:34.386Z,chat/completions,gpt-5,,,,,,,,,,26.32
2025-11-25T21:36:51.457Z,chat/completions,gpt-5,,,,,,,,,,13.94
2025-11-25T21:37:52.349Z,chat/completions,gpt-5,,,,,,,,,,27.52
2025-11-25T21:38:16.124Z,chat/completions,gpt-5,,,,,,,,,,12.98
2025-11-25T21:40:47.382Z,chat/completions,gpt-4.1-mini,,,,,,,,,,0.08
2025-11-25T21:43:56.652Z,chat/completions,gpt-5,,,,,,,,,,25.55
2025-11-25T21:57:50.120Z,chat/completions,gpt-4.1-mini,,,,,,,,,,0.09
2025-11-25T22:11:57.150Z,chat/completions,gpt-5,,,,,,,,,,23.82
2025-11-25T22:14:22.743Z,chat/completions,gpt-5,,,,,,,,,,19.83
2025-11-25T22:15:17.830Z,chat/completions,gpt-5,,,,,,,,,,27.4
2025-11-25T22:17:01.118Z,chat/completions,gpt-5,,,,,,,,,,25.92
2025-11-26T05:56:33.949Z,chat/completions,gpt-5,,,,,,,,,,27.74
2025-11-26T06:02:33.771Z,chat/completions,gpt-5,,,,,,,,,,26.86
2025-11-26T06:12:23.309Z,chat/completions,gpt-5,,,,,,,,,,27.04
2025-11-26T06:13:48.447Z,chat/completions,gpt-5,,,,,,,,,,27.01
2025-11-26T06:15:53.379Z,chat/completions,gpt-5,,,,,,,,,,27.13
2025-11-26T06:16:50.683Z,chat/completions,gpt-5,,,,,,,,,,25.65
2025-11-26T06:18:10.050Z,chat/completions,gpt-5,,,,,,,,,,29.04
2025-11-26T06:19:06.051Z,chat/completions,gpt-4.1,,,,,,,,,,0.55
2025-11-26T06:20:36.619Z,chat/completions,gpt-5,,,,,,,,,,5.39
2025-11-26T06:30:04.178Z,chat/completions,gpt-5,,,,,,,,,,27.36
2025-11-26T06:32:30.214Z,chat/completions,gpt-5,,,,,,,,,,27.66
2025-11-26T06:35:06.972Z,chat/completions,gpt-5-codex,,,,,,,,,,5.25
2025-11-26T06:35:33.735Z,chat/completions,gpt-5-codex,,,,,,,,,,2.93
2025-11-26T06:49:18.749Z,chat/completions,gpt-5,,,,,,,,,,8.9
2025-11-26T06:49:36.061Z,chat/completions,gpt-5-codex,,,,,,,,,,1.97
2025-11-26T06:51:23.281Z,chat/completions,gpt-5,,,,,,,,,,6.95
2025-11-26T06:53:09.527Z,chat/completions,gpt-5,,,,,,,,,,6.38
